"name","description"
"Taiko","membranophones, drum, percussion, Japan (211.12)"
"Talking drum","membranophones, drum, percussion, West Africa, Ghana, Ivory Coast, Senegal, Yoruba (211.241.2)"
"Tambor huacana","idiophones or membranophones, drum, percussion, Mexico (1/2)"
"Tambori","membranophones, drum, percussion, Andorra, Catalonia, Spain (1/2)"
"Tamborim","membranophones, drum, percussion, Brazil (211.311)"
"Tamborita calentana (Mexico)","membranophones, drum, percussion, Mexico (1/2)"
"Tambou bas a dé fas","membranophones, bass drum, percussion, Guadeloupe (211.212.2)"
"Tambou bas a yon fas","membranophones, bass drum, percussion, Guadeloupe (211.221-7)"
"Tambourine","idiophones, frame drum, unpitched percussion, Belarus, Bosnia and Herzegovina, Czech, Greece, Hungary, Iran, North Macedonia, Pakistan, Poland, Portugal, Russia, Slovenia, Tajikistan, Turkey, Ukraine, United Arab Emirates (211.311)"
"Tamburica","chordophones,  stringed instruments, Croatia/Serbia (321.321)"
"Tan-tan","membranophones, drum, percussion, Brazil (2)"
"Tanbur","chordophones,  stringed instruments, Iran, Kurdistan, (3)"
"Tanpura","chordophones,  stringed instruments, India (3)"
"Tapan, Topan, Tupan","membranophones, bass drum, percussion, Turkey (211.212)"
"Taphon","membranophones, drum, percussion, Thailand (2)"
"Tar (lute)","chordophones,  stringed instruments, Armenia, Azerbaijan, Iran, Kurdistan, (3)"
"Tar","membranophones, frame drum, percussion, Saudi Arabia (211.311)"
"Tarogato","aerophones, oboe, suona,, reed instruments, Central Europe (422.112-71)"
"Tbilat","membranophones,  percussion, Morocco, Saudi Arabia (2)"
"Tea chest bass","chordophones,  stringed instruments, Western Europe (3)"
"Teleharmonium",""
"Tembûr",""
"Tembûr","chordophones ,
"Ten-string guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Tenor Recorder","aerophones, recorder, fipple flutes, Germany (421.221.12)"
"Tenor banjo","chordophones,  stringed instruments, North America (3)"
"Tenor guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Tenor sackbut","aerophones, trombone, brass instruments, France (423.22)"
"Tenor sarrusophone","aerophones, oboe, reed instruments, France (422.112.2)"
"Tenor saxophone","aerophones, clarinet, reed instruments, Belgium (422.2)"
"Tenor trombone","aerophones, trombone, brass instruments, Western Europe (423.22)"
"Tenor ukulele","chordophones,  stringed instruments, Portugal/Hawaii (321.322)"
"Tenor viol (''taille'')","chordophones,  stringed instruments, Spain (321.322-71)"
"Tenor violin","chordophones,  stringed instruments, Italy and Western Europe (321.322-71)"
"Tenor","aerophones, human voice, vocal registers,  (43)"
"Tenora","aerophones, oboe, shawm,, reed instruments, Spain (422.112)"
"Tenori-on",""
"Tenoroon","aerophones, oboe, reed instruments, Western Europe (422.112.2–71)"
"Teponaztli","idiophones, slit drum,  El Salvador, Guatemala, Mexico (111.24)"
"Terz guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Terz heckelphone","aerophones, oboe, English horn, reed instruments, Germany (422.112.2)"
"Thavil","membranophones, drum, percussion, India (2)"
"Theorbo","chordophones,  stringed instruments, Europe (321.321)"
"Theremin",""
"Throat singing","aerophones, human voice
"Tible","aerophones, oboe, shawm,, reed instruments, Spain (422.112)"
"Timbales","membranophones, drum, percussion, Cuba (2)"
"Timpani (kettledrum)","membranophones, drum, percussion,  (211.11-922)"
"Timple","chordophones,  stringed instruments, Canary Islands (3)"
"Tin whistle","aerophones, recorder, fipple flutes, Celtic (421.221.12 )", vocal techniques,  (43 )"
"Tiple","chordophones,  stringed instruments, Colombia, Cuba, Peru, Puerto Rico, Spain (321.322)"
"Toasting","aerophones, human voice
"Toba", Towla,"membranophones, bass drum, percussion, Turkey (211.212)"
"Tof","membranophones, bass drum, percussion, Turkey (211.212)"
"Tom-tom","membranophones, drum, percussion,  (211.212.1)"
"Tombak","membranophones, drum, percussion, Iran (2)"
"Tonette","aerophones, end-blown flute, woodwinds, North America (421.111.12)"
"Tovshuur","chordophones,  stringed instruments, Altai, Khakassia, Mongolia, Tuva (321.321)", stringed instruments, curdo-persiano (3 )"
"Train whistle","aerophones, whistle, fipple flutes,  (421.221.11)"
"Transverse ocarina","aerophones, ocarina, fipple flutes, Italy (421.221.42)"
"Treble Recorder","aerophones, recorder, fipple flutes, Germany (421.221.12)"
"Treble viol (''dessus'')","chordophones,  stringed instruments, Spain (321.322-71)"
"Tremolo harmonica","aerophones, harmonica, free reed instruments, Germany (412.132)"
"Tres Cubano","chordophones,  stringed instruments, Cuba (321.322)"
"Tres Puerto Rico","chordophones,  stringed instruments, Cuba (321.322)"
"Tres","chordophones,  stringed instruments, Cuba (321.322)"
"Triangle","idiophones, triangle, unpitched percussion, Cajuns (111.2)"
"Tricordia","chordophones,  stringed instruments,  (321.321)"
"Trikiti","aerophones, accordion, free reed instruments, Spain (412.132)", vocal technique,  (43 )"
"Triple-neck guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Tro","chordophones,  stringed instruments, Cambodia (3)"
"Trombone","aerophones, trombone, brass instruments, Western Europe (423.22)"
"Tromboon","aerophones, bassoon, trombone, reed instruments, US (422.112.2)"
"Trompeta china","aerophones, oboe, suona,, reed instruments, Cuba (422.112.2)"
"Trumpet marine/tromba marina","chordophones,  stringed instruments, Western Europe (3)"
"Trumpet","aerophones, trumpet, brass instruments,  (423.232 )"
"Tsukeshime-daiko","membranophones, drum, percussion, Japan (2)"
"Tsuri-daiko","membranophones, drum, percussion, Japan (2)"
"Tsuzumi","membranophones, drum, percussion, Japan (1/2)"
"Tsymbaly","chordophones,  stringed instruments, Ukraine, Belarus (3)"
"Tuba","aerophones, trumpet, brass instruments, Germany (423.232)"
"Tubax","aerophones, clarinet, reed instruments, Belgium (422.2)"
"Tube trumpet","aerophones, trumpet, natural trumpets,  (423.1)"
"Tuhu","chordophones,  stringed instruments, China (3)"
"Tumpong","aerophones, end-blown flute, woodwinds, Philippines (421.111.12)"
"Tungso","aerophones, end-blown flute, woodwinds, Korea (421.111.12)"
"Turntable",""
"Tutek","aerophones, flute, woodwinds, Azerbaijan (4)"
"Twelve-neck guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Twelve-string guitar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Txalaparta","idiophones,  unpitched percussion, Basque (111.222)"
"Txistu","aerophones, recorder, fipple flutes, Spain (421.221.12)"
"Tzouras","chordophones,  stringed instruments, Greece (321.321)"
"U-bass","chordophones,  stringed instruments, Portugal/Hawaii (321.322)"
"Uchiwa-daiko","membranophones, drum, percussion, Japan (2)"
"Uilleann pipes","aerophones, bagpipe, reed instruments, Ireland (422)"
"Ukelin","chordophones,  stringed instruments,  (3)"
"Ukulele","chordophones,  stringed instruments, Portugal/Hawaii (321.322)"
"Uruttu chenda","membranophones, drum, percussion, India (211.212)"
"Valiha","chordophones,  stringed instruments, Madagascar (3)"
"Vallegrandino","chordophones,  stringed instruments, Argentina, Bolivia, Chile, Peru, (321.321)"
"Valve trombone","aerophones, trombone, brass instruments, Western Europe (423.22)"
"Veekku chenda","membranophones, drum, percussion, India (211.212)"
"Veena","chordophones,  stringed instruments, India (3)"
"Venova","aerophones, clarinet, reed instruments, Belgium (422.2)"
"Venova","aerophones, recorder, fipple flutes, Germany (421.221.12)"
"Venu","aerophones, flute
"Vertical viola","chordophones,  stringed instruments,  (3)"
"Vibrandoneon (instrument)","aerophones, clarinets, free reed instruments, Italy (412.132)"
"Vibraphone","idiophones, keyboard, pitched percussion,  (111.222)"
"Vibraslap","idiophones,  United States (112.12)"
"Vichitra veena","chordophones,  stringed instruments, India (3)"
"Vielle","chordophones,  stringed instruments, Western Europe (3)"
"Vienna horn","aerophones, trumpet, French horn, brass instruments, Austria (423.232)"
"Vihuela","chordophones,  stringed instruments, Spain (3)"
"Viol ","chordophones,  stringed instruments, Spain (321.322-71)"
"Viola amarantina","chordophones,  stringed instruments, Portugal (3)"
"Viola bastarda","chordophones,  stringed instruments, Portugal (3)"
"Viola beiroa","chordophones,  stringed instruments, Portugal (3)"
"Viola caipira","chordophones,  stringed instruments, Brazil (3)"
"Viola d'amore","chordophones,  stringed instruments,  (3)"
"Viola da gamba","chordophones,  stringed instruments, Spain (321.322-71)"
"Viola da terra","chordophones,  stringed instruments, Portugal (3)"
"Viola de arame","chordophones,  stringed instruments, Portugal (3)"
"Viola de cocho","chordophones,  stringed instruments, Brazil (3)"
"Viola organista","chordophones,  stringed instruments, Italy (Da Vinci) (3)"
"Viola profonda","chordophones,  stringed instruments,  (3)"
"Viola","chordophones,  stringed instruments,  (3)"
"Violin","chordophones,  stringed instruments, Italy and Western Europe (321.322-71)"
"Violone","chordophones,  stringed instruments,  (3)"
"Violotta","chordophones,  stringed instruments, Germany (3)"
"Vocal percussion","aerophones, human voice, vocal techniques,  (43)", woodwinds, South India (421.121.12 )"
"Vuvuzela","aerophones, trumpet
"Wagner tuba","aerophones, trumpet, brass instruments, Germany (423.232)"
"Walaycho","chordophones,  stringed instruments,  (321.321-5)"
"Walaycho","chordophones,  stringed instruments, Argentina, Bolivia, Chile, Peru, (321.321)"
"Waldzither","chordophones,  stringed instruments, Germany (321.322)"
"Washboard","idiophones,  unpitched percussion, Cajuns, United States"
"Washint","aerophones, end-blown flute, woodwinds, Ethiopia (421.111.12 )", natural trumpets, South-Africa (423.121.22 )"
"Washtub bass","chordophones,  stringed instruments, USA (3)"
"Western concert flute","aerophones, flute, woodwinds, Western Europe (421.121.12 )"
"Whamola","chordophones,  stringed instruments, USA (3)"
"Wheelharp","chordophones,  stringed instruments, USA (3)"
"Whip","aerophones, whip, noise makers,  (411)"
"Whistle","aerophones, whistle, fipple flutes,  (421.221.11)"
"Willow flute","aerophones, recorder, fipple flutes, Scandinavia (421.221.11 )"
"Wobble board","other drums, Australia"
"Wood block","idiophones, drum, unpitched percussion,  (111.24)"
"Wooden fish","idiophones,  China (111.24)"
"Xalam/Khalam","chordophones,  stringed instruments, West Africa (3)"
"Xaphoon","aerophones, clarinet, reed instruments, Belgium (422.2)"
"Xeremia","aerophones, bagpipe,  Balearic Islands"
"Xiao","aerophones, end-blown flute, woodwinds, China (421.111.12)"
"Xiaoruan","chordophones,  stringed instruments, China (3)"
"Xun","aerophones, ocarina, fipple flutes, China (421.221.42)"
"Xylophone","idiophones, keyboard, pitched percussion, Ghana, Uganda, Zambia (111.212)"
"Yangqin","chordophones,  stringed instruments, China (3)"
"Yaylı tanbur","chordophones,  stringed instruments, Turkey (3)"
"Yazheng","chordophones,  stringed instruments, China (3)"
"Yehu","chordophones,  stringed instruments, China (3)"
"Yodel","aerophones, human voice, vocal techniques,  (43)"
"Yotar","aerophones, flute, woodwinds,  (4)"
"Yotar","chordophones,  stringed instruments, Spain, ''et al'' (3)"
"Yu","aerophones, harmonica, free reed instruments, China (412.132)"
"Yueqin","chordophones,  stringed instruments, China (3)"
"Zhaleika","aerophones, clarinet, reed instruments, Russia (422.2)"
"Zhengni","chordophones,  stringed instruments, China (3)"
"Zhonghu","chordophones,  stringed instruments, China (3)"
"Zhongruan","chordophones,  stringed instruments, China (3)"
"Zhongruan","chordophones,  stringed instruments, China (3)"
"Zhu (string instrument)","chordophones,  stringed instruments, China (3)"
"Zhuihu","chordophones,  stringed instruments, China (3)"
"Zill","idiophones,  unpitched percussion, Asia, Saudi Arabia, Turkey (111.142)"
"Zither banjo","chordophones,  stringed instruments, North America (3)"
"Zither","chordophones,  stringed instruments, Belarus, Croatia, Czech, Germany, Hungary, Poland, Russia, Slovakia, Slovenia, Switzerland, Ukraine, (314.122)"
"Zufolo","aerophones, recorder, fipple flutes, Italy (421.111.12 )"
"Zugtrompette","aerophones, trumpet, slide trumpet, brass instruments, Germany (423.21/22)"
"Zurna","aerophones, oboe, reed instruments, Turkey (422.112.2)"
"alto Recorder","aerophones, recorder, fipple flutes, Germany (421.221.12)"
"cracklebox",""
"guitarra conchera","chordophones, charango, mandolin, Mexican vihuela, guitar, stringed instruments, Mexico (321.321-6)"
"guitarras de concheros","chordophones, charango, mandolin, Mexican vihuela, guitar, stringed instruments, Mexico (321.321-6)"
"mandolina conchera","chordophones, charango, mandolin, Mexican vihuela, guitar, stringed instruments, Mexico (321.321-6)"
"mandolinos de concheros","chordophones, charango, mandolin, Mexican vihuela, guitar, stringed instruments, Mexico (321.321-6)"
"vihuela conchera","chordophones, charango, mandolin, Mexican vihuela, guitar, stringed instruments, Mexico (321.321-6)"
"vihuelas de concheros","chordophones, charango, mandolin, Mexican vihuela, guitar, stringed instruments, Mexico (321.321-6)"
"water whistle","aerophones, recorder, fipple flutes, Philippines (4)"
"Đàn bầu","chordophones,  stringed instruments, Vietnam (3)"
"Đàn gáo","chordophones,  stringed instruments, Vietnam (3)"
"Đàn nguyệt","chordophones,  stringed instruments, Vietnam (3)"
"Đàn tam thập lục","chordophones,  stringed instruments, Vietnam (3)"
"Đàn tranh","chordophones,  stringed instruments, Vietnam (3)"
"Đàn tỳ bà","chordophones,  stringed instruments, Vietnam (3)"
"Đàn đáy","chordophones,  stringed instruments, Vietnam (3)"
"Šargija","chordophones,  stringed instruments, Albania, Bosnia and Herzegovina, Croatia, Serbia (321.321)"
